Citation,Continent,Country,Latitude,Longtitude,asl,MAT,MAP,Vegetation species,Forest age,soilCN,Duration,Ambient_level,Manipulated_level,dco2,Fumigation,Response_variable,R,v,Note
Grannoum et al. 2010,Oceania,Australia,-32.99 ,147.89 ,300,18.0 ,563 ,Eucalyptus sideroxylon,seedling,13,5.0 ,290,400,110,Greenhouse,Rootbiomass,0.45 ,0.67 ,
Grannoum et al. 2010,Oceania,Australia,-32.99 ,147.89 ,300,18.0 ,563 ,Eucalyptus sideroxylon,seedling,13,5.0 ,290,650,360,Greenhouse,Rootbiomass,0.97 ,0.67 ,
Grannoum et al. 2010,Oceania,Australia,-32.99 ,147.89 ,300,18.0 ,563 ,Eucalyptus saligna,seedling,13,5.0 ,290,400,110,Greenhouse,Rootbiomass,0.06 ,0.67 ,
Grannoum et al. 2010,Oceania,Australia,-32.99 ,147.89 ,300,18.0 ,563 ,Eucalyptus saligna,seedling,13,5.0 ,290,650,360,Greenhouse,Rootbiomass,0.67 ,0.67 ,
Grannoum et al. 2010,Oceania,Australia,-32.99 ,147.89 ,300,18.0 ,563 ,Eucalyptus sideroxylon,seedling,13,5.0 ,290,400,110,Greenhouse,Rootbiomass,0.43 ,0.67 ,
Grannoum et al. 2010,Oceania,Australia,-32.99 ,147.89 ,300,18.0 ,563 ,Eucalyptus sideroxylon,seedling,13,5.0 ,290,650,360,Greenhouse,Rootbiomass,1.06 ,0.67 ,
Gschwendtner et al.  2015,Europe,Germany,47.98 ,8.75 ,765 ,20.0 ,922 ,Fagus sylvatica,1,10.9,0.1 ,360,1100,740,Greenhouse,DOC,-0.34 ,0.67 ,
Gschwendtner et al.  2015,Europe,Germany,47.98 ,8.75 ,765 ,20.0 ,922 ,Fagus sylvatica,1,10.9,0.1 ,360,1100,740,Greenhouse,DOC,-0.37 ,0.67 ,
Hagedorn et al.  2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,"Picea abies, Fagus sylvatica",3,15.5,48.0 ,370,570,200,OTC,DOC,0.06 ,0.67 ,
Hagedorn et al.  2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,"Picea abies, Fagus sylvatica",3,15.5,48.0 ,370,570,200,OTC,DOC,-0.08 ,0.67 ,
Hagedorn et al.  2013,Europe,Switzerland,47.47 ,7.50 ,2180,9.5 ,1150 ,"Larix decidua, Pinus cembra, Pinus mugo",35,24.9,108.0 ,370,570,200,FACE,SOC,-0.03 ,0.20 ,
Hagedorn et al.  2013,Europe,Switzerland,47.47 ,7.50 ,2180,9.5 ,1150 ,"Larix decidua, Pinus cembra, Pinus mugo",35,24.9,108.0 ,370,570,200,FACE,SOC,0.06 ,0.20 ,
Hagedorn et al.  2013,Europe,Switzerland,47.47 ,7.50 ,2180,9.5 ,1150 ,"Larix decidua, Pinus cembra, Pinus mugo",35,24.9,108.0 ,370,570,200,FACE,SoilCN,0.00 ,0.20 ,
Hagedorn et al.  2013,Europe,Switzerland,47.47 ,7.50 ,2180,9.5 ,1150 ,"Larix decidua, Pinus cembra, Pinus mugo",35,24.9,108.0 ,370,570,200,FACE,SoilCN,-0.01 ,0.20 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,"Picea abies, Fagus sylvatica",3,15.5,48.0 ,370,570,200,OTC,N2O,0.00 ,0.50 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,"Picea abies, Fagus sylvatica",3,15.5,48.0 ,370,570,200,OTC,N2O,0.69 ,0.50 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,"Picea abies, Fagus sylvatica",3,15.5,48.0 ,370,570,200,OTC,N2O,0.00 ,0.50 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,"Picea abies, Fagus sylvatica",3,15.5,48.0 ,370,570,200,OTC,N2O,-0.41 ,0.50 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,"Picea abies, Fagus sylvatica",3,15.5,48.0 ,370,570,200,OTC,NO3-,-0.69 ,0.50 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,"Picea abies, Fagus sylvatica",3,15.5,48.0 ,370,570,200,OTC,NO3-,-2.48 ,0.50 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,"Picea abies, Fagus sylvatica",3,15.5,48.0 ,370,570,200,OTC,NO3-,-0.41 ,0.50 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,"Picea abies, Fagus sylvatica",3,15.5,48.0 ,370,570,200,OTC,NO3-,-1.21 ,0.50 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,"Picea abies, Fagus sylvatica",3,15.5,48.0 ,370,570,200,OTC,Rootbiomass,1.33 ,0.50 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,"Picea abies, Fagus sylvatica",3,15.5,48.0 ,370,570,200,OTC,Rootbiomass,0.50 ,0.50 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,"Picea abies, Fagus sylvatica",3,15.5,48.0 ,370,570,200,OTC,DOC,0.06 ,0.50 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,"Picea abies, Fagus sylvatica",3,15.5,48.0 ,370,570,200,OTC,DOC,-0.08 ,0.50 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,Fagus sylvatica,2-4,15.5,48.0 ,370,570,200,OTC,SoilNH4+,0.34 ,0.25 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,Picea abies,2-4,15.5,48.0 ,370,570,200,OTC,SoilNH4+,0.00 ,0.25 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,Fagus sylvatica,2-4,15.5,48.0 ,370,570,200,OTC,SoilNH4+,-0.15 ,0.25 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,Picea abies,2-4,15.5,48.0 ,370,570,200,OTC,SoilNH4+,-0.18 ,0.25 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,Fagus sylvatica,2-4,15.5,48.0 ,370,570,200,OTC,SoilNH4+,0.69 ,0.25 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,Picea abies,2-4,15.5,48.0 ,370,570,200,OTC,SoilNH4+,-0.22 ,0.25 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,Fagus sylvatica,2-4,15.5,48.0 ,370,570,200,OTC,SoilNH4+,-0.49 ,0.25 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,Picea abies,2-4,15.5,48.0 ,370,570,200,OTC,SoilNH4+,-0.29 ,0.25 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,Fagus sylvatica,2-4,15.5,48.0 ,370,570,200,OTC,SoilNO3-,0.11 ,0.25 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,Picea abies,2-4,15.5,48.0 ,370,570,200,OTC,SoilNO3-,0.15 ,0.25 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,Fagus sylvatica,2-4,15.5,48.0 ,370,570,200,OTC,SoilNO3-,-0.55 ,0.25 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,Picea abies,2-4,15.5,48.0 ,370,570,200,OTC,SoilNO3-,-0.48 ,0.25 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,Fagus sylvatica,2-4,15.5,48.0 ,370,570,200,OTC,SoilNO3-,0.35 ,0.25 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,Picea abies,2-4,15.5,48.0 ,370,570,200,OTC,SoilNO3-,-0.43 ,0.25 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,Fagus sylvatica,2-4,15.5,48.0 ,370,570,200,OTC,SoilNO3-,-0.69 ,0.25 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,Picea abies,2-4,15.5,48.0 ,370,570,200,OTC,SoilNO3-,-0.53 ,0.25 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,Fagus sylvatica,2-4,15.5,48.0 ,370,570,200,OTC,TIN,0.17 ,0.25 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,Picea abies,2-4,15.5,48.0 ,370,570,200,OTC,TIN,0.11 ,0.25 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,Fagus sylvatica,2-4,15.5,48.0 ,370,570,200,OTC,TIN,-0.34 ,0.25 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,Picea abies,2-4,15.5,48.0 ,370,570,200,OTC,TIN,-0.35 ,0.25 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,Fagus sylvatica,2-4,15.5,48.0 ,370,570,200,OTC,TIN,0.44 ,0.25 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,Picea abies,2-4,15.5,48.0 ,370,570,200,OTC,TIN,-0.36 ,0.25 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,Fagus sylvatica,2-4,15.5,48.0 ,370,570,200,OTC,TIN,-0.66 ,0.25 ,
Hagedorn et al. 2000,Europe,Switzerland,47.35 ,8.43 ,518 ,8.9 ,1181 ,Picea abies,2-4,15.5,48.0 ,370,570,200,OTC,TIN,-0.51 ,0.25 ,
Hagedorn et al. 2013,Europe,Switzerland,47.47 ,7.50 ,2180,9.5 ,1150 ,"Larix decidua, Pinus cembra, Pinus mugo",35,24.9,108.0 ,370,570,200,FACE,Rs,0.11 ,0.40 ,
Hagedorn et al. 2013,Europe,Switzerland,47.47 ,7.50 ,2180,9.5 ,1150 ,"Larix decidua, Pinus cembra, Pinus mugo",35,24.9,108.0 ,370,570,200,FACE,Rs,0.19 ,0.40 ,
Hagedorn et al. 2013,Europe,Switzerland,47.47 ,7.50 ,2180,9.5 ,1150 ,"Larix decidua, Pinus cembra, Pinus mugo",35,24.9,108.0 ,370,570,200,FACE,Rs,0.32 ,0.40 ,
Hagedorn et al. 2013,Europe,Switzerland,47.47 ,7.50 ,2180,9.5 ,1150 ,"Larix decidua, Pinus cembra, Pinus mugo",35,24.9,108.0 ,370,570,200,FACE,Rs,0.22 ,0.40 ,
Hagedorn et al. 2013,Europe,Switzerland,47.47 ,7.50 ,2180,9.5 ,1150 ,"Larix decidua, Pinus cembra, Pinus mugo",35,24.9,108.0 ,370,570,200,FACE,Rs,0.31 ,0.40 ,
Hagedorn et al. 2013,Europe,Switzerland,47.47 ,7.50 ,2180,9.5 ,1150 ,"Larix decidua, Pinus cembra, Pinus mugo",35,24.9,108.0 ,370,570,200,FACE,Rs,0.35 ,0.40 ,
Hagedorn et al. 2013,Europe,Switzerland,47.47 ,7.50 ,2180,9.5 ,1150 ,"Larix decidua, Pinus cembra, Pinus mugo",35,24.9,108.0 ,370,570,200,FACE,Rs,0.08 ,0.40 ,
Hagedorn et al. 2013,Europe,Switzerland,47.47 ,7.50 ,2180,9.5 ,1150 ,"Larix decidua, Pinus cembra, Pinus mugo",35,24.9,108.0 ,370,570,200,FACE,Rs,0.13 ,0.40 ,
Hamilton et al. 2003,North America,USA,35.97 ,-79.08 ,130,15.5 ,1145 ,Pinus  taeda,13,18.1,48.0 ,365,565,200,FACE,NPP,0.24 ,0.67 ,Duke FACE
Hamilton et al. 2003,North America,USA,35.97 ,-79.08 ,130,15.5 ,1145 ,Pinus  taeda,13,18.1,48.0 ,365,565,200,FACE,Rootbiomass,0.10 ,0.67 ,Duke FACE
"H?ttenschwiler and K?rner, 1997",Europe,Switzerland,47.03 ,8.00 ,869 ,7.4 ,1433 ,Picea abies,7,15.5 ,36.0 ,280,420,140,Greenhouse,Rootbiomass,0.14 ,0.67 ,
"H?ttenschwiler and K?rner, 1997",Europe,Switzerland,47.03 ,8.00 ,869 ,7.4 ,1433 ,Picea abies,seedling,15.5 ,36.0 ,280,560,280,Greenhouse,Rootbiomass,0.12 ,0.67 ,
Hebbar et al.  2020,Asia,India,12.30 ,75.00 ,10.7,33.5 ,3400 ,Theobroma cacao,0.5,1.0 ,24.0 ,380,550,170,OTC,Rootbiomass,0.06 ,0.67 ,
Hebbar et al.  2020,Asia,India,12.30 ,75.00 ,10.7,33.5 ,3400 ,Theobroma cacao,0.5,1.0 ,24.0 ,380,700,320,OTC,Rootbiomass,0.21 ,0.67 ,
Hebbar et al.  2020,Asia,India,12.30 ,75.00 ,10.7,33.5 ,3400 ,Theobroma cacao,0.5,1.0 ,24.0 ,380,550,170,OTC,Rootbiomass,0.51 ,0.67 ,
Hebbar et al.  2020,Asia,India,12.30 ,75.00 ,10.7,33.5 ,3400 ,Theobroma cacao,0.5,1.0 ,24.0 ,380,550,170,OTC,Leafbiomass,0.11 ,0.67 ,
Hebbar et al.  2020,Asia,India,12.30 ,75.00 ,10.7,33.5 ,3400 ,Theobroma cacao,0.5,1.0 ,24.0 ,380,700,320,OTC,Leafbiomass,0.33 ,0.67 ,
Hebbar et al.  2020,Asia,India,12.30 ,75.00 ,10.7,33.5 ,3400 ,Theobroma cacao,0.5,1.0 ,24.0 ,380,550,170,OTC,Leafbiomass,0.05 ,0.67 ,
Hibbs et al. 1995,North America,USA,44.56 ,-123.29 ,76 ,11.5 ,1234 ,Alnus rubra,seedling,13.0 ,4.8 ,350,700,350,Growth Chamber,BNF,0.05 ,0.13 ,symbiotic N-fixing
Hofmockel & Schlesinger 2007,North America,USA,35.97 ,-79.08 ,130,15.5 ,1145 ,Pinus  taeda,13,18.1,49.0 ,365,565,200,FACE,BNF,-0.10 ,0.67 ,non-symbiotic N-fixing
Hofmockel & Schlesinger 2007,North America,USA,35.97 ,-79.08 ,130,15.5 ,1145 ,Pinus  taeda,13,18.1,57.0 ,365,565,200,FACE,BNF,-0.34 ,0.67 ,non-symbiotic N-fixing
Hofmockel & Schlesinger 2007,North America,USA,35.97 ,-79.08 ,130,15.5 ,1145 ,Pinus  taeda,13,18.1,60.0 ,365,565,200,FACE,BNF,-0.07 ,0.67 ,non-symbiotic N-fixing
Hofmockel & Schlesinger 2007,North America,USA,35.97 ,-79.08 ,130,15.5 ,1145 ,Pinus  taeda,13,18.1,73.0 ,365,565,200,FACE,BNF,-0.18 ,0.67 ,non-symbiotic N-fixing
Hofmockel & Schlesinger 2007,North America,USA,35.97 ,-79.08 ,130,15.5 ,1145 ,Pinus  taeda,13,18.1,77.0 ,365,565,200,FACE,BNF,0.92 ,0.67 ,non-symbiotic N-fixing
Hoosbeek et al. 2011,Europe,UK,53.23 ,-4.00 ,162 ,11.5 ,1034 ,"Alnus glutinosa, Betula pendula and Fagus sylvatica",seedling,10.97,48.0 ,380,580,200,FACE,SoilNH4+,-0.45 ,0.50 ,Bangor FACE
Hoosbeek et al. 2011,Europe,UK,53.23 ,-4.00 ,162 ,11.5 ,1034 ,"Alnus glutinosa, Betula pendula and Fagus sylvatica",seedling,10.97,48.0 ,380,580,200,FACE,SoilNO3-,-0.18 ,0.50 ,Bangor FACE
Hoosbeek et al. 2011,Europe,UK,53.23 ,-4.00 ,162 ,11.5 ,1034 ,"Alnus glutinosa, Betula pendula and Fagus sylvatica",seedling,10.97,48.0 ,380,580,200,FACE,TIN,-0.19 ,0.50 ,Bangor FACE
Hoshika et al.  2012,Asia,Japan,43.07 ,141.33 ,15,11.5 ,1325 ,"Betula ermanii, Betula maximowicziana, Betula platyphylla",2,18.9 ,12.0 ,375,600,225,OTC,Rootbiomass,0.11 ,0.50 ,
Hoshika et al.  2012,Asia,Japan,43.07 ,141.33 ,15,11.5 ,1325 ,"Betula ermanii, Betula maximowicziana, Betula platyphylla",2,18.9 ,12.0 ,375,600,225,OTC,Rootbiomass,0.03 ,0.50 ,
Hoshika et al.  2012,Asia,Japan,43.07 ,141.33 ,15,11.5 ,1325 ,"Betula ermanii, Betula maximowicziana, Betula platyphylla",2,18.9 ,12.0 ,375,600,225,OTC,Rootbiomass,0.21 ,0.50 ,
Hoshika et al.  2012,Asia,Japan,43.07 ,141.33 ,15,11.5 ,1325 ,"Betula ermanii, Betula maximowicziana, Betula platyphylla",2,18.9 ,12.0 ,375,600,225,OTC,Leafbiomass,-0.54 ,0.50 ,
Hoshika et al.  2012,Asia,Japan,43.07 ,141.33 ,15,11.5 ,1325 ,"Betula ermanii, Betula maximowicziana, Betula platyphylla",2,18.9 ,12.0 ,375,600,225,OTC,Leafbiomass,0.22 ,0.50 ,
Hoshika et al.  2012,Asia,Japan,43.07 ,141.33 ,15,11.5 ,1325 ,"Betula ermanii, Betula maximowicziana, Betula platyphylla",2,18.9 ,12.0 ,375,600,225,OTC,Leafbiomass,0.02 ,0.50 ,
Hoshika et al.  2012,Asia,Japan,43.07 ,141.33 ,15,11.5 ,1325 ,"Betula ermanii, Betula maximowicziana, Betula platyphylla",2,18.9 ,12.0 ,375,600,225,OTC,Stembiomass,-0.07 ,0.50 ,
Hoshika et al.  2012,Asia,Japan,43.07 ,141.33 ,15,11.5 ,1325 ,"Betula ermanii, Betula maximowicziana, Betula platyphylla",2,18.9 ,12.0 ,375,600,225,OTC,Stembiomass,0.08 ,0.50 ,
Hoshika et al.  2012,Asia,Japan,43.07 ,141.33 ,15,11.5 ,1325 ,"Betula ermanii, Betula maximowicziana, Betula platyphylla",2,18.9 ,12.0 ,375,600,225,OTC,Stembiomass,0.04 ,0.50 ,
Huang et al.  2020,Asia,China,34.27 ,108.90 ,403 ,13.6 ,605 ,Robinia pseudoacacia,seedling,4.77,4.0 ,385,500,115,OTC,SOC,0.01 ,0.67 ,
Huang et al.  2020,Asia,China,34.27 ,108.90 ,403 ,13.6 ,605 ,Robinia pseudoacacia,seedling,4.77,4.0 ,385,700,315,OTC,SOC,0.02 ,0.67 ,
Huang et al.  2020,Asia,China,34.27 ,108.90 ,403 ,13.6 ,605 ,Robinia pseudoacacia,seedling,4.77,4.0 ,385,500,115,OTC,SOC,0.01 ,0.67 ,
Huang et al.  2020,Asia,China,34.27 ,108.90 ,403 ,13.6 ,605 ,Robinia pseudoacacia,seedling,4.77,4.0 ,385,700,315,OTC,SOC,-0.03 ,0.67 ,
Huang et al.  2020,Asia,China,34.27 ,108.90 ,403 ,13.6 ,605 ,Robinia pseudoacacia,seedling,4.77,4.0 ,385,500,115,OTC,SOC,0.02 ,0.67 ,
Huang et al.  2020,Asia,China,34.27 ,108.90 ,403 ,13.6 ,605 ,Robinia pseudoacacia,seedling,4.77,4.0 ,385,700,315,OTC,SOC,0.03 ,0.67 ,
Huang et al.  2020,Asia,China,34.27 ,108.90 ,403 ,13.6 ,605 ,Robinia pseudoacacia,seedling,4.77,4.0 ,385,500,115,OTC,DOC,0.18 ,0.67 ,
Huang et al.  2020,Asia,China,34.27 ,108.90 ,403 ,13.6 ,605 ,Robinia pseudoacacia,seedling,4.77,4.0 ,385,700,315,OTC,DOC,0.30 ,0.67 ,
Huang et al.  2020,Asia,China,34.27 ,108.90 ,403 ,13.6 ,605 ,Robinia pseudoacacia,seedling,4.77,4.0 ,385,500,115,OTC,DOC,0.22 ,0.67 ,
Huang et al.  2020,Asia,China,34.27 ,108.90 ,403 ,13.6 ,605 ,Robinia pseudoacacia,seedling,4.77,4.0 ,385,700,315,OTC,DOC,0.19 ,0.67 ,
Huang et al.  2020,Asia,China,34.27 ,108.90 ,403 ,13.6 ,605 ,Robinia pseudoacacia,seedling,4.77,4.0 ,385,500,115,OTC,DOC,0.41 ,0.67 ,
Huang et al.  2020,Asia,China,34.27 ,108.90 ,403 ,13.6 ,605 ,Robinia pseudoacacia,seedling,4.77,4.0 ,385,700,315,OTC,DOC,0.44 ,0.67 ,
Huang et al.  2020,Asia,China,34.27 ,108.90 ,403 ,13.6 ,605 ,Robinia pseudoacacia,seedling,4.77,4.0 ,385,500,115,OTC,MBC,0.07 ,0.67 ,
Huang et al.  2020,Asia,China,34.27 ,108.90 ,403 ,13.6 ,605 ,Robinia pseudoacacia,seedling,4.77,4.0 ,385,700,315,OTC,MBC,0.08 ,0.67 ,
Huang et al.  2020,Asia,China,34.27 ,108.90 ,403 ,13.6 ,605 ,Robinia pseudoacacia,seedling,4.77,4.0 ,385,500,115,OTC,MBC,0.15 ,0.67 ,
Huang et al.  2020,Asia,China,34.27 ,108.90 ,403 ,13.6 ,605 ,Robinia pseudoacacia,seedling,4.77,4.0 ,385,700,315,OTC,MBC,0.17 ,0.67 ,
Huang et al.  2020,Asia,China,34.27 ,108.90 ,403 ,13.6 ,605 ,Robinia pseudoacacia,seedling,4.77,4.0 ,385,500,115,OTC,MBC,0.20 ,0.67 ,
Huang et al.  2020,Asia,China,34.27 ,108.90 ,403 ,13.6 ,605 ,Robinia pseudoacacia,seedling,4.77,4.0 ,385,700,315,OTC,MBC,0.23 ,0.67 ,
Hungate et al. 2004,North America,USA,28.63 ,-80.70 ,4 ,21.9 ,1282 ,Galactia elliottii,1,36.7,12.0 ,350,700,350,OTC,BNF,0.69 ,0.25 ,symbiotic N-fixing
Hungate et al. 2004,North America,USA,28.63 ,-80.70 ,4 ,21.9 ,1282 ,Galactia elliottii,1,36.7,24.0 ,350,700,350,OTC,BNF,0.18 ,0.25 ,symbiotic N-fixing
Hungate et al. 2004,North America,USA,28.63 ,-80.70 ,4 ,21.9 ,1282 ,Galactia elliottii,1,36.7,36.0 ,350,700,350,OTC,BNF,0.00 ,0.25 ,symbiotic N-fixing
Hungate et al. 2004,North America,USA,28.63 ,-80.70 ,4 ,21.9 ,1282 ,Galactia elliottii,1,36.7,48.0 ,350,700,350,OTC,BNF,-0.29 ,0.25 ,symbiotic N-fixing
Hungate et al. 2004,North America,USA,28.63 ,-80.70 ,4 ,21.9 ,1282 ,Galactia elliottii,1,36.7,60.0 ,350,700,350,OTC,BNF,-0.54 ,0.25 ,symbiotic N-fixing
Hungate et al. 2004,North America,USA,28.63 ,-80.70 ,4 ,21.9 ,1282 ,Galactia elliottii,1,36.7,72.0 ,350,700,350,OTC,BNF,-0.51 ,0.25 ,symbiotic N-fixing
Hungate et al. 2004,North America,USA,28.63 ,-80.70 ,4 ,21.9 ,1282 ,Galactia elliottii,1,36.7,84.0 ,350,700,350,OTC,BNF,-0.48 ,0.25 ,symbiotic N-fixing
Hungate et al. 2013a,North America,USA,28.63 ,-80.70 ,4 ,21.9 ,1282 ,"Quercus myrtifolia, Quercus geminata, Quercus chapmanii",1,36.7,132.0 ,350,700,350,OTC,MBC,0.28 ,0.67 ,
Hungate et al. 2013a,North America,USA,28.63 ,-80.70 ,4 ,21.9 ,1282 ,"Quercus myrtifolia, Quercus geminata, Quercus chapmanii",1,36.7,132.0 ,350,700,350,OTC,SoilCN,-0.01 ,0.67 ,
Hungate et al. 2013a,North America,USA,28.63 ,-80.70 ,4 ,21.9 ,1282 ,"Quercus myrtifolia, Quercus geminata, Quercus chapmanii",1,36.7,132.0 ,350,700,350,OTC,MBN,0.18 ,0.67 ,
Hungate et al. 2013a,North America,USA,28.63 ,-80.70 ,4 ,21.9 ,1282 ,"Quercus myrtifolia, Quercus geminata, Quercus chapmanii",1,36.7,132.0 ,350,700,350,OTC,SOC,-0.09 ,0.67 ,
Hungate et al. 2013a,North America,USA ,28.63 ,-80.70 ,4 ,21.9 ,1282 ,"Quercus myrtifolia, Quercus geminata, Quercus chapmanii",1,36.7,132.0 ,350,700,350,OTC,Rootbiomass,-0.12 ,0.67 ,
Hungate et al. 2013b,North America,USA ,28.63 ,-80.70 ,4 ,21.9 ,1282 ,"Quercus myrtifolia, Quercus geminata, Quercus chapmanii",1,36.7,132.0 ,350,700,350,OTC,Rootbiomass,0.08 ,0.25 ,
Hungate et al. 2014,North America,USA,28.63 ,-80.70 ,4 ,21.9 ,1282 ,"Quercus myrtifolia, Quercus geminata, Quercus chapmanii",1,36.7,132.0 ,350,700,350,OTC,N2O,0.09 ,0.67 ,
Hungate et al. 2014,North America,USA,28.63 ,-80.70 ,4 ,21.9 ,1282 ,"Quercus myrtifolia, Quercus geminata, Quercus chapmanii",1,36.7,132.0 ,350,700,350,OTC,NOx,-1.02 ,0.67 ,
Hymus et al. 2003,North America,USA,28.63 ,-80.70 ,4 ,21.9 ,1282 ,"Quercus myrtifolia, Quercus geminata, Quercus chapmanii",1,36.7,24.0 ,350,700,350,OTC,Rs,0.25 ,0.25 ,
Hymus et al. 2003,North America,USA,28.63 ,-80.70 ,4 ,21.9 ,1282 ,"Quercus myrtifolia, Quercus geminata, Quercus chapmanii",1,36.7,24.0 ,350,700,350,OTC,Rs,0.23 ,0.25 ,
Iversen et al.  2011,North America,USA,35.90 ,-84.33 ,230,13.9 ,1371 ,Liquidambar styraciflua,10,7.4,144.0 ,400,565,165,FACE,SOC,0.07 ,0.67 ,Oak Ridge FACE
Iversen et al.  2011,North America,USA,35.90 ,-84.33 ,230,13.9 ,1371 ,Liquidambar styraciflua,10,7.4,144.0 ,400,565,165,FACE,SoilCN,0.03 ,0.67 ,Oak Ridge FACE
Iversen et al. 2008,North America,USA,35.90 ,-84.33 ,230,13.9 ,1371 ,Liquidambar styraciflua,10,7.4,108.0 ,380,560,180,FACE,Rootbiomass,0.09 ,0.67 ,Oak Ridge FACE
Iversen et al. 2008,North America,USA,35.90 ,-84.33 ,230,13.9 ,1371 ,Liquidambar styraciflua,10,7.4,108.0 ,380,560,180,FACE,Rootbiomass,0.18 ,0.67 ,Oak Ridge FACE
Iversen et al. 2008,North America,USA,35.90 ,-84.33 ,230,13.9 ,1371 ,Liquidambar styraciflua,10,7.4,108.0 ,380,560,180,FACE,Rootbiomass,0.69 ,0.67 ,Oak Ridge FACE
Iversen et al. 2008,North America,USA,35.90 ,-84.33 ,230,13.9 ,1371 ,Liquidambar styraciflua,10,7.4,108.0 ,380,560,180,FACE,Rootbiomass,0.72 ,0.67 ,Oak Ridge FACE
Iversen et al. 2008,North America,USA,35.90 ,-84.33 ,230,13.9 ,1371 ,Liquidambar styraciflua,10,7.4,108.0 ,380,560,180,FACE,Rootbiomass,1.19 ,0.67 ,Oak Ridge FACE
Iversen et al. 2008,North America,USA,35.90 ,-84.33 ,230,13.9 ,1371 ,Liquidambar styraciflua,10,7.4,108.0 ,380,560,180,FACE,Rootbiomass,0.75 ,0.67 ,Oak Ridge FACE
Iversen et al. 2008,North America,USA,35.90 ,-84.33 ,230,13.9 ,1371 ,Liquidambar styraciflua,10,7.4,108.0 ,380,560,180,FACE,Rootbiomass,0.58 ,0.67 ,Oak Ridge FACE
